Wall time,Step,Value
1733617065.6357338,49,0.13050344586372375
1733617418.0552232,99,0.11825695633888245
1733617719.0291264,149,0.10518833994865417
1733618063.8099825,199,0.10403571277856827
1733618362.0574417,249,0.14158307015895844
1733618704.7804732,299,0.08770586550235748
1733619047.5574765,349,0.11036477237939835
1733619346.7963758,399,0.1125667467713356
1733619688.6648896,449,0.10533775389194489
1733619984.2408812,499,0.09400782734155655
1733620329.1006894,549,0.09451362490653992
1733620672.6302624,599,0.06633379310369492
1733620970.7617886,649,0.09997861832380295
1733621318.8937287,699,0.09178457409143448
1733621613.1717947,749,0.12096427381038666
1733621959.41881,799,0.08223791420459747
1733622303.778906,849,0.09428150951862335
1733622598.2825098,899,0.09127194434404373
1733622945.3310688,949,0.0993819385766983
1733623240.7071722,999,0.06099073216319084
1733623582.3828022,1049,0.10649698227643967
1733623931.6600854,1099,0.0685780793428421
1733624227.2040942,1149,0.08156155794858932
1733624572.4763246,1199,0.10523082315921783
1733624872.3608546,1249,0.07265660911798477
1733625217.7053852,1299,0.08086192607879639
1733625562.3653333,1349,0.07103882730007172
1733625862.6546369,1399,0.09229134768247604
1733626210.8815126,1449,0.08080273121595383
1733626508.7871706,1499,0.08768617361783981
1733626856.4813592,1549,0.08488495647907257
1733627200.5516202,1599,0.051615361124277115
1733627497.3249257,1649,0.06624983251094818
