Wall time,Step,Value
1733503244.3817866,49,0.10812584310770035
1733503593.8049867,99,0.10929884016513824
1733503895.9232378,149,0.10932601988315582
1733504243.5409913,199,0.07550577819347382
1733504540.5581415,249,0.12233352661132812
1733504891.8153136,299,0.08287393301725388
1733505241.6562564,349,0.09277660399675369
1733505540.9801064,399,0.06351321935653687
1733505896.2549555,449,0.11739416420459747
1733506198.7240365,499,0.08478684723377228
1733506542.592416,549,0.06890008598566055
1733506889.8318655,599,0.10379543900489807
1733507181.9008787,649,0.10549863427877426
1733507521.8884737,699,0.10056918114423752
1733507817.8082907,749,0.07563844323158264
1733508165.7003891,799,0.07315629720687866
1733508504.274792,849,0.08274776488542557
1733508799.311115,899,0.06655162572860718
1733509149.608835,949,0.07523635774850845
1733509451.2783406,999,0.07604419440031052
1733509798.1190698,1049,0.0663670003414154
1733510145.0916708,1099,0.06687754392623901
1733510438.5079625,1149,0.06811501085758209
1733510785.481543,1199,0.053855735808610916
1733511084.1997397,1249,0.09624996036291122
1733511429.0065756,1299,0.0677119791507721
1733511772.8439713,1349,0.09156428277492523
1733512073.6907997,1399,0.07519401609897614
1733512423.509793,1449,0.05193643644452095
1733512718.866888,1499,0.05134258419275284
1733513069.2335644,1549,0.058819085359573364
1733513414.2592633,1599,0.058856409043073654
1733513710.5748303,1649,0.04953279346227646
